English,Persian
workers,کارگران
farm,مزرعه
fucking,لعنتی
georgia,گرجستان
peace,صلح
traditional,سنتی
campus,محوطه دانشگاه
tom,دلهره
showing,نشان
creative,خلاق
coast,ساحل
benefit,سود
progress,پیش رفتن
funding,منابع مالی
devices,دستگاه
lord,خداوند
grant,اعطا کردن
sub,زیر
agree,موافق
fiction,داستان
hear,شنیدن
sometimes,گاهی
watches,ساعت
careers,مشاغل
beyond,فراتر
goes,حرکت
families,خانواده ها
led,رهبری
museum,موزه
themselves,خودشان
fan,پنکه
transport,حمل
interesting,جالب هست
blogs,وبلاگ
wife,زن
evaluation,ارزیابی
accepted,پذیرفته شده
former,سابق
implementation,پیاده سازی
ten,ده
hits,بازدید
zone,منطقه
complex,پیچیده
th,دومین
cat,گربه
galleries,گالری
references,منابع
die,مردن
presented,ارایه شده
jack,جک
flat,تخت
flow,جریان
agencies,آژانس ها
literature,ادبیات
respective,قابل احترام
parent,والدین
spanish,اسپانیایی
michigan,میشیگان
columbia,کلمبیا
setting,تنظیمات
dr,دکتر
scale,اندازه
stand,ایستادن
economy,اقتصاد
highest,بالاترین
helpful,مفید
monthly,ماهانه
critical,بحرانی
frame,قاب
musical,موسیقی
definition,تعریف
secretary,دبیر، منشی
angeles,فرشته
networking,شبکه
path,مسیر
australian,استرالیایی
employee,کارمند
chief,رئیس
gives,می دهد
kb,kB
bottom,پایین
magazines,مجلات
packages,بسته ها
detail,شرح
francisco,فرانسیسکو
laws,قانون
changed,تغییر کرد
pet,حیوان خانگی
heard,شنیده کردن
begin,شروع
individuals,اشخاص حقیقی
colorado,کلرادو
royal,سلطنتی
clean,تمیز
switch,تعویض
russian,روسی
largest,بزرگترین
african,آفریقایی
guy,پسر
titles,عناوین
relevant,مربوط
guidelines,دستورالعمل
justice,عدالت
connect,وصل کردن
bible,کتاب مقدس
dev,سحر کردن
cup,فنجان
basket,سبد
applied,کاربردی
weekly,هفتگی
vol,یک
installation,نصب و راه اندازی
described,شرح داده شده
demand,تقاضا
pp,PP
suite,مجموعه
vegas,وگاس
na,سد
square,مربع
chris,جنجال
attention,توجه
advance,پیشرفت
skip,پرش
diet,رژیم غذایی
army,ارتش
auction,حراج
gear,دنده
lee,لیز
os,پیش روی
difference,تفاوت
allowed,مجاز
correct,درست
charles,چارلز
nation,ملت
selling,فروش
lots,مقدار زیادی
piece,قطعه
sheet,ورق
firm,محکم
seven,هفت
older,مسن تر
illinois,ایلینویز
regulations,آئین نامه
elements,عناصر
species,گونه ها
jump,پرش
cells,سلول ها
module,مدول
resort,رفت و آمد مکرر
facility,امکانات
random,تصادفی
pricing,قیمت گذاری
dvds,دی وی دی
certificate,گواهی
minister,وزیر
motion,حرکت - جنبش
looks,نگاه داشتن
fashion,روش
directions,جهت ها
visitors,بازدید کنندگان
documentation,مستندات
monitor,نظارت
trading,تجارت
forest,جنگل
calls,فراخوانی
whose,چه کسی
coverage,پوشش
couple,زن و شوهر
giving,بخش
chance,شانس. فرصت
vision,چشم انداز
ball,توپ
ending,پایان
clients,مشتری
actions,اقدامات
listen,گوش بده
discuss,بحث و گفتگو
accept,تایید کنید
automotive,خودرو
naked,برهنه
goal,هدف
successful,موفقیت آمیز
sold,فروخته شده
wind,باد
communities,اجتماع
clinical,بالینی
situation,وضعیت
sciences,علوم
markets,بازار
lowest,پایین ترین
highly,بسیار
publishing,انتشار
appear,به نظر می رسد
emergency,اضطراری
developing,در حال توسعه
lives,زندگی
currency,واحد پول
leather,چرمی
determine,تعیین کردن
milf,میمون
temperature,درجه حرارت
palm,نخل
announcements,اطلاعیه ها
patient,صبور
actual,واقعی
historical,تاریخی
stone,سنگ
bob,بچه
commerce,تجارت
ringtones,آهنگ های زنگ
perhaps,شاید
persons,افراد
difficult,دشوار
scientific,علمی
satellite,ماهواره
fit,مناسب
tests,تست
village,دهکده
accounts,حساب ها
amateur,وابسته به آماتور
ex,سابق
met,ملاقات کرد
pain,درد
xbox,باکس
particularly,به ویژه
factors,عوامل
coffee,قهوه
www,www
settings,تنظیمات
cum,تقدیر
buyer,خریدار
cultural,فرهنگی
steve,استیو
easily,به آسانی
oral,دهانی
ford,آب کم عمق
poster,پوستر
edge,حاشیه، غیرمتمرکز
functional,کاربردی
root,ریشه
au,اوج
fi,فای
closed,بسته
holidays,تعطیلات
ice,یخ
pink,رنگ صورتی
zealand,اوریلند
balance,تعادل
monitoring,نظارت بر
graduate,فارغ التحصیل
replies,پاسخ
shot,شلیک شده
nc,NC
architecture,معماری
initial,اولیه
label,برچسب
thinking,فكر كردن
scott,اسکات
llc,LLC
sec,جزء
recommend,توصیه
canon,کانتین
hardcore,هاردکور
league,لیگ
waste,هدر
minute,دقیقه
bus,اتوبوس
provider,ارائه دهنده
optional,اختیاری
dictionary,فرهنگ لغت
cold,سرد
accounting,حسابداری
manufacturing,تولید
sections,بخش
chair,صندلی
fishing,صید ماهی
effort,تلاش
phase,فاز
fields,زمینه های
bag,کیسه
fantasy,خیال
po,پوتین
letters,نامه ها
motor,موتور
va,VA
professor,استاد
context,متن نوشته
install,نصب
shirt,پیراهن
apparel,پوشاک
generally,بطور کلی
continued,ادامه داد
foot,پا
mass,جرم
crime,جرم
count,شمردن
breast,پستان
techniques,تکنیک
ibm,IBM
rd,Rd
johnson,جانسون
sc,چیز
quickly,به سرعت
dollars,دلار
websites,وب سایت ها
religion,دین
claim,مطالبه
driving,رانندگی
permission,اجازه
surgery,عمل جراحی
patch,پچ
heat,حرارت
wild,وحشی
measures,معیارهای
generation,نسل
kansas,کانزاس
miss,از دست دادن
chemical,شیمیایی
doctor,پزشک
task,وظیفه
reduce,كاهش دادن
brought,آورده شده
himself,خودش
nor,نه
component,جزء
enable,فعال کردن
exercise,ورزش
bug,حشره
santa,سانتا
mid,میانه
guarantee,ضمانت
leader,رهبر
diamond,الماس
israel,اسرائيل
se,سس
processes,فرایندها
soft,نرم
servers,سرور
alone,تنها
meetings,جلسات
seconds,ثانیه
jones,جونز
arizona,آریزونا
keyword,کلمه کلیدی
interests,منافع
flight,پرواز
congress,کنگره
fuel,سوخت
username,نام کاربری
walk,راه رفتن
fuck,لعنت کردن
produced,تولید شده
italian,ایتالیایی
paperback,بشقاب شومیز
classifieds,طبقه بندی شده
wait,صبر کن
supported,پشتیبانی
pocket,جیب
saint,قدیس
rose,گل سرخ
freedom,آزادی
argument,بحث و جدل
competition,رقابت
creating,پدید آوردن
jim,جیم
drugs,مواد مخدر
joint,مفصل
premium,حق بیمه
providers,ارائه دهنده
fresh,تازه
characters,شخصیت ها
attorney,وکیل
upgrade,بالا بردن
di,دیزائی
factor,عامل
growing,در حال رشد
thousands,هزار هزار
km,کیلومتر
stream,جریان
apartments,آپارتمان
pick,انتخاب
hearing,شنوایی
eastern,شرق
auctions,حراجی
therapy,درمان
entries,ورودی های
dates,تاریخ
generated,تولید شده
signed,امضاء شده
upper,فوقانی
administrative,اداری
serious,جدی
prime,نخست وزیر
samsung,سامسونگ
limit,حد
began,شروع کردن
louis,لوئیس
steps,گام
errors,خطاها
shops,مغازه ها
bondage,اسارت
del,قصبه
efforts,تلاش ها
informed,مطلع
ga,GA
ac,گی
thoughts,اندیشه ها
creek,نهر
ft,فوت
worked,کار
quantity,تعداد
urban,شهری
practices,عمل
sorted,مرتب
reporting,گزارش نویسی
essential,اساسی
myself,خودم
tours,تورها
platform,سکو
load,بار
affiliate,وابسته
labor,کار یدی
immediately,بلافاصله. مستقیما
admin,مدیر
nursing,پرستاری
defense,دفاع
machines,ماشین
designated,تعیین شده
tags,برچسب ها
heavy,سنگین
covered,تحت پوشش
recovery,بهبود
joe,جو
guys,بچه
integrated,یکپارچه
configuration,پیکربندی
cock,جسد
merchant,بازرگان
comprehensive,جامع
expert,کارشناس
universal,جهانی
protect,محافظت
drop,افت
solid,جامد
cds,سی دی
presentation,ارائه
languages,زبان ها
became,تبدیل شدن
orange,نارنجی
compliance,انطباق
vehicles,وسايل نقليه
prevent,جلوگیری کردن
theme,موضوع
rich,ثروتمند
im,من هستم
campaign,پویش
marine,دریایی
improvement,بهبودی
vs,در مقابل
guitar,گیتار
finding,یافته
pennsylvania,پنسیلوانیا
examples,مثال ها
ipod,ادی
saying,گفته
spirit,روح
ar,ar
claims,ادعاها
porno,پورنو
challenge,چالش
motorola,موتورولا
acceptance,پذیرش - پذیرفته شدن
strategies,استراتژی ها
mo,مس
seem,نگاه داشتن
affairs,امین
touch,دست زدن به
intended,مورد نظر
towards,به سمت
sa,سعید
goals,هدف
hire,استخدام
election,انتخابات
suggest,پیشنهاد می دهد
branch,شاخه
charges,اتهامات
serve,خدمت
affiliates,وابسته به شرکتهای وابسته
reasons,دلایل
magic,شعبده بازي
mount,کوه
smart,هوشمندانه
talking,صحبت کردن
gave,داد
ones,اونس
latin,لاتین
multimedia,چند رسانه ای
xp,XP
tits,جوانان
avoid,اجتناب کردن
certified,گواهی شده
manage,مدیریت کردن
corner,گوشه
rank,درجه
computing,محاسبه
oregon,وابسته به اورگان
element,عنصر
birth,زایمان
virus,ویروس
abuse,سو استفاده کردن
interactive,در ارتباط بودن
requests,درخواست ها
separate,جداگانه، مجزا
quarter,ربع
procedure,روش
leadership,رهبری
tables,جداول
define,تعريف كردن
racing,مسابقه
religious,دینی
facts,حق
breakfast,صبحانه
kong,کنگ
column,ستون
plants,گیاهان
faith,ایمان
chain,زنجیر
developer,توسعه دهنده
identify,شناسایی کردن
avenue,خیابان
missing,مفقود
died,فوت کرد
approximately,تقریباً
domestic,داخلی
sitemap,نقشه سایت
recommendations,توصیه ها
moved,منتقل شده
houston,هیوستون
reach,رسیدن
comparison,مقایسه
mental,ذاتی
viewed,قابل مشاهده
moment,لحظه
extended,تمدید شده
sequence,توالی
inch,اینچ
attack,حمله
sorry,متاسف
centers,مرکز
opening,افتتاح
damage,خسارت
lab,آزمایشگاه
reserve,ذخیره
recipes,دستور پخت
cvs,CVS
gamma,گاما
plastic,پلاستیکی
produce,تولید کردن
snow,برف
placed,قرار داده شده
truth,حقیقت
counter,پیشخوان
failure,شکست
follows,زیر
eu,اتحادیه اروپا
weekend,تعطیلات آخر هفته
dollar,دلار
camp,اردوگاه
ontario,انتاریو
automatically,بطور خودکار
des,دنباله
minnesota,مینه سوتا
films,فیلم های
bridge,پل
native,بومی
fill,پر کردن
williams,ویلیامز
movement,جنبش
printing,چاپ
baseball,بیسبال
owned,متعلق
approval,تصویب
draft,پیش نویس
chart,چارت سازمانی
played,بازی
contacts,مخاطب
cc,سی سی
jesus,عیسی
readers,خوانندگان
clubs,کلوپ
lcd,ال سی دی
wa,WA
jackson,جکسون
equal,برابر
adventure,ماجرا
matching,تطابق
offering,ارائه
shirts,پیراهن
profit,سود
leaders,رهبران
posters,پوستر
institutions,نهادهای
assistant,دستیار
variable,متغیر
ave,خیابان
dj,دی جی
advertisement,تبلیغ
expect,انتظار
parking,توقفگاه خودرو
headlines,عناوین
yesterday,دیروز
compared,در مقایسه
determined,مشخص
wholesale,عمده فروشی
workshop,کارگاه
russia,روسیه
gone,رفته
codes,کد
kinds,نوع
extension,افزونه
seattle,سیاتل
statements,بیانیه
golden,طلایی
completely,به صورت کامل
